,country,continent,bank_nonperforming_loans_to_wdi,school_enrollment_secondary_gross_wdi,government_expenditure_on_education_wdi,trade_of_gdp_wdi,inflation_consumer_prices_annual_wdi,unemployment_total_of_total_wdi,unemployment_youth_total_of_wdi,gdp_growth_annual_wdi,gdp_per_capita_current_wdi,current_health_expenditure_of_wdi,government_effectiveness_estimate_wdi,control_of_corruption_estimate_wdi,regulatory_quality_estimate_wdi,population_total_wdi,population_ages_1564_of_wdi,political_stability_and_absence_wdi,life_expectancy_at_birth_wdi,rule_of_law_estimate_wdi,urban_population_of_total_wdi,voice_and_accountability_estimate_wdi,criminality_oc
0,Afghanistan,Asia,4.8244752335267975,87.2995595112891,3.652718168236041,51.41171637472706,5.133203408249605,11.994,16.395,-20.738839367634327,356.49621411589226,21.508461,-1.67058789730072,-1.15226578712463,-1.31168210506439,40000412.0,53.7393252349501,-2.51867604255676,60.417,-1.87723398208618,26.314,-1.56838941574097,7.08
1,Albania,Europe,5.39391025321323,97.665033031442,3.00555992126465,75.5903217283122,2.041471631395474,11.474,27.244,8.969576190740952,6413.28280828537,7.39913177,-0.0359850227832794,-0.577179968357086,0.175859391689301,2811666.0,67.3665631972931,0.196371927857399,76.844,-0.280716270208359,62.969,0.0855889618396759,5.63
2,Algeria,Africa,19.6415989191126,62.915220087512324,5.51403281769924,46.83705925996074,7.22606307415475,13.63,33.843,3.7999999990070714,4160.559267369248,5.0110569,-0.65274578332901,-0.635961413383484,-1.18196296691895,44761099.0,63.0690613740293,-0.992457151412964,75.208,-0.833022832870483,74.261,-1.01377856731415,4.51
3,Andorra,Europe,5.533854687908195,98.0404205322266,2.381921736037,128.85687745142167,3.284819505787911,7.179849999999999,18.212674999999997,8.28677879049404,42425.6996756291,8.33450699,1.74892807006836,1.2796870470047,1.35934960842133,78364.0,72.3614948285873,1.58125936985016,82.331,1.64205121994019,87.858,1.03249990940094,2.96
4,Angola,Africa,14.9960876543918,53.1351542727131,2.29719689513241,74.46449858710743,25.75429488418906,15.799,30.171,1.1992105214515334,1925.8746608216743,3.09277129,-1.1263599395752,-0.649475812911987,-0.670014679431915,34532429.0,52.3460455098597,-0.710480749607086,62.958,-0.983753621578217,67.46,-0.859023571014404,5.29
5,Antigua and Barbuda,Americas,7.79597173904749,94.33388654387433,2.50897393198865,101.07496058477857,2.062996385453294,8.911129032258064,20.15777419354838,8.17286311186622,17348.600698718186,4.99196768,-0.193900942802429,0.231868863105774,0.374506026506424,92349.0,70.877324064148,0.949669897556305,77.197,0.303150534629822,24.38,0.729783952236176,3.34
6,Argentina,Americas,4.29211290587395,115.735778808594,4.65393018722534,33.07868956746599,48.40937862551991,8.736,23.373,10.441811988250564,10738.017922338438,10.03832245,-0.390557259321213,-0.422596842050552,-0.631172716617584,45312281.0,64.8426321239199,0.0005300586344674,73.948,-0.477947890758514,92.229,0.610777020454407,4.38
7,Armenia,Asia,1.83298359761034,91.4853735120921,2.76784992218018,79.66988882283988,7.184836294433672,15.469,30.532,5.800000000656453,4685.179971285085,12.32268524,-0.282197445631027,0.0486846454441547,0.131828442215919,2962300.0,67.3509680096337,-0.804041028022766,72.27804878048782,-0.119838461279869,63.431,0.0541607961058617,3.26
8,Australia,Oceania,0.912575245358043,135.526565551758,5.34109020233154,40.30248026916966,2.863910422049957,5.116,11.248,2.111168147687863,60607.77886051659,10.42525291,1.47172200679779,1.70738875865936,1.83118271827698,25685412.0,64.8273784315574,0.83507913351059,83.3,1.63855969905853,86.362,1.35812592506409,4.0
9,Austria,Europe,2.08460790714203,102.307662963867,5.48071002960205,111.03226873790052,2.7666666666667,6.459,12.023,4.795328856995425,53648.719074224544,12.15228558,1.52829468250275,1.24272727966309,1.34041571617126,8955797.0,66.1764816581673,0.899554431438446,81.19024390243904,1.75175452232361,58.995,1.38638341426849,4.04
10,Azerbaijan,Asia,4.8244752335267975,91.4106367606057,3.7020800113678,76.28686568701504,6.650299127087786,6.04,14.691,5.616440268606439,5408.045351750229,4.68526697,0.213475212454796,-0.847890377044678,-0.0650539621710777,10137750.0,69.708000115884,-0.837823569774628,70.999,-0.606765031814575,56.776,-1.52737867832184,5.08
