,country,continent,school_enrollment_secondary_gross_wdi,trade_of_gdp_wdi,inflation_consumer_prices_annual_wdi,unemployment_total_of_total_wdi,unemployment_youth_total_of_wdi,gdp_per_capita_current_wdi,gdp_growth_annual_wdi,government_effectiveness_estimate_wdi,control_of_corruption_estimate_wdi,regulatory_quality_estimate_wdi,population_total_wdi,population_ages_1564_of_wdi,political_stability_and_absence_wdi,life_expectancy_at_birth_wdi,rule_of_law_estimate_wdi,urban_population_of_total_wdi,voice_and_accountability_estimate_wdi,criminality_oc
0,Afghanistan,Asia,85.96353443459009,67.58466515163852,-4.644708707977765,13.991,17.291,413.7578947053032,2.266943736491882,-1.98701369762421,-1.15493178367615,-1.26642525196075,41454761.0,54.3962586106817,-2.48408055305481,66.035,-1.64964091777802,26.933,-1.85290133953094,7.1
1,Albania,Europe,96.1368771236947,82.49368255969938,4.759764219301084,10.108,24.817,8575.171346372215,3.9366168919259934,0.250855356454849,-0.332218527793884,0.171953663229942,2745972.0,66.6560264328305,0.183348968625069,79.602,-0.164097368717194,64.603,0.168997228145599,5.17
2,Algeria,Africa,101.264892578125,43.68291419557204,9.322173759283189,11.701,30.447,5364.027950227306,4.100000000059637,-0.670135140419006,-0.589308321475983,-0.948087155818939,46164219.0,62.9837937905979,-0.577885270118713,76.261,-0.678364396095276,75.268,-0.979883790016174,4.88
3,Andorra,Europe,99.5086517333984,127.10225267750646,7.352342334686251,6.033230769230769,15.800512820512822,46812.44844863085,2.58355480961319,1.4754387140274,1.25135612487793,1.35054576396942,80856.0,72.3341495992876,1.58346593379974,84.041,1.47689890861511,87.774,0.996939778327942,3.22
4,Angola,Africa,51.4839046246776,67.00179327991998,13.64410177677149,14.537,28.075,2309.534130427727,1.0780995197067256,-1.00890958309174,-0.60992020368576,-0.761388182640076,36749906.0,52.6162856035605,-0.34150505065918,64.617,-1.09906601905823,68.688,-0.737252414226532,5.58
5,Antigua and Barbuda,Americas,108.880778588808,64.95372947812973,5.067138653642156,6.810290322580646,16.296935483870964,21494.547400072708,2.427363001103359,0.380410820245743,0.326792687177658,0.546036779880524,93316.0,70.544014659944,0.923393249511719,77.598,0.378593176603317,24.332,0.741840481758118,2.98
6,Argentina,Americas,105.574584297051,26.640512133443742,133.4889355941749,6.139,17.946,14187.482725296491,-1.611001620901888,-0.377517342567444,-0.360883951187134,-0.482535392045975,45538401.0,65.6063209158354,-0.127517908811569,77.395,-0.410826534032822,92.463,0.533921837806702,5.0
7,Armenia,Asia,89.4111027634947,119.71464296387194,1.980418776155585,13.245,26.135,8125.273957540031,8.299999999595386,-0.184129968285561,0.0583996474742889,0.047635018825531,2964300.0,67.2436198631987,-0.829278230667114,77.4658536585366,-0.122017979621887,63.739,0.0767075568437576,2.82
8,Australia,Oceania,134.099243164062,49.225184059438064,5.597014925373134,3.668,8.375,64835.9199754535,3.4419922000902545,1.58987963199615,1.78120493888855,1.94220554828644,26652777.0,64.5856920862796,0.91705721616745,83.05121951219513,1.52318394184113,86.617,1.50660192966461,4.0
9,Austria,Europe,100.504371643066,116.813919411879,7.814134170028328,5.264,10.98,56033.57379206499,-0.9549625293891212,1.32668149471283,1.1336532831192,1.36136972904205,9131761.0,65.5333445996897,0.727989196777344,81.54146341463417,1.74656546115875,59.53,1.41124832630157,4.13
10,Azerbaijan,Asia,92.7402972401367,83.53588611563214,8.785430498490808,5.636,13.751,7133.028380483284,1.354477317554469,-0.0326422192156315,-1.19547140598297,-0.108809567987919,10153958.0,69.64501196768,-0.730753898620605,74.429,-0.566586077213287,57.577,-1.41153395175934,4.8
11,Bahamas,Americas,87.1455240465819,76.54947515928572,3.052915789697472,8.643,18.127,38231.77448427799,3.048774962850203,0.270353257656097,1.26691007614136,0.0071837524883449,399440.0,70.1737805755801,1.00856232643127,74.552,0.179566532373428,83.625,0.860349118709564,3.75
